housing_complex_name;rooms;square;metrPriceR;sumR;URL
†илой ђайон ЗЌовые ЋстровцыИ;1;41,3;66К562,62;2749036;http://best-novostroy.ru/novostroyki_podmoskovya/novie-ostrovci/planing/
†Љ ЗЋдинцовский паркИ;1;26;107К692,31;2800000;http://best-novostroy.ru/novostroyki_podmoskovya/odintsovskiy_park/planing/
†илой ђайон ЗЌовые ЋстровцыИ;1;41,3;67К796,61;2800000;http://best-novostroy.ru/novostroyki_podmoskovya/novie-ostrovci/planing/
†илой ђайон ЗЌовые ЋстровцыИ;1;35,84;78К780,36;2823488;http://best-novostroy.ru/novostroyki_podmoskovya/novie-ostrovci/planing/
†илой комплекс ЗЌовое ЃутовоИ;1;25,82;109К743,57;2833579;http://best-novostroy.ru/sales/novoe_butovo/planing/
†илой комплекс ЗЌовое ЃутовоИ;1;25,82;110К256,43;2846821;http://best-novostroy.ru/sales/novoe_butovo/planing/
†илой комплекс ЗЌовое ЃутовоИ;1;25,82;110К769,25;2860062;http://best-novostroy.ru/sales/novoe_butovo/planing/
†илой ђайон ЗЌовые ЋстровцыИ;1;41,3;69К322,62;2863024;http://best-novostroy.ru/novostroyki_podmoskovya/novie-ostrovci/planing/
†илой комплекс ЗЌовое ЃутовоИ;1;25,82;111К794,89;2886544;http://best-novostroy.ru/sales/novoe_butovo/planing/
†Љ ЗЋдинцовский паркИ;1;25,3;118К577,08;3000000;http://best-novostroy.ru/novostroyki_podmoskovya/odintsovskiy_park/planing/
†Љ ЗЋдинцовский паркИ;1;30;100К000,00;3000000;http://best-novostroy.ru/novostroyki_podmoskovya/odintsovskiy_park/planing/
†илой комплекс ЗЌовое ЃутовоИ;1;28,74;104К615,38;3006646;http://best-novostroy.ru/sales/novoe_butovo/planing/
†илой ђайон ЗЌовые ЋстровцыИ;1;41,3;72К881,36;3010000;http://best-novostroy.ru/novostroyki_podmoskovya/novie-ostrovci/planing/
†илой ђайон ЗЌовые ЋстровцыИ;1;41,3;73К292,62;3026985;http://best-novostroy.ru/novostroyki_podmoskovya/novie-ostrovci/planing/
†илой комплекс ЗЌовое ЃутовоИ;1;28,49;106К666,65;3038933;http://best-novostroy.ru/sales/novoe_butovo/planing/
†илой ђайон ЗЌовые ЋстровцыИ;1;46,08;66К189,24;3050000;http://best-novostroy.ru/novostroyki_podmoskovya/novie-ostrovci/planing/
†илой комплекс ЗЌовое ЃутовоИ;1;28,49;108К717,94;3097374;http://best-novostroy.ru/sales/novoe_butovo/planing/
†илой комплекс ЗЌовое ЃутовоИ;1;28,49;109К230,78;3111985;http://best-novostroy.ru/sales/novoe_butovo/planing/
†илой комплекс ЗЌовое ЃутовоИ;1;28,49;109К743,59;3126595;http://best-novostroy.ru/sales/novoe_butovo/planing/
†илой ђайон ЗЌовые ЋстровцыИ;1;41,3;76К271,19;3150000;http://best-novostroy.ru/novostroyki_podmoskovya/novie-ostrovci/planing/
†илой ђайон ЗЌовые ЋстровцыИ;1;35,8;87К988,83;3150000;http://best-novostroy.ru/novostroyki_podmoskovya/novie-ostrovci/planing/
†илой комплекс ЗЌовое ЃутовоИ;1;28,49;110К769,22;3155815;http://best-novostroy.ru/sales/novoe_butovo/planing/
†илой ђайон ЗЌовые ЋстровцыИ;1;46,08;69К260,29;3191514;http://best-novostroy.ru/novostroyki_podmoskovya/novie-ostrovci/planing/
†илой ђайон ЗЌовые ЋстровцыИ;1;41,3;77К481,84;3200000;http://best-novostroy.ru/novostroyki_podmoskovya/novie-ostrovci/planing/
†Љ ЗЋдинцовский паркИ;1;27,5;117К000,00;3217500;http://best-novostroy.ru/novostroyki_podmoskovya/odintsovskiy_park/planing/
†Љ ЗЋдинцовский паркИ;1;27,7;117К000,00;3240900;http://best-novostroy.ru/novostroyki_podmoskovya/odintsovskiy_park/planing/
†илой ђайон ЗЌовые ЋстровцыИ;1;41,3;78К692,49;3250000;http://best-novostroy.ru/novostroyki_podmoskovya/novie-ostrovci/planing/
†илой комплекс ЗЊир ЊитиноИ;1;26,3;124К479,92;3273822;http://best-novostroy.ru/sales/mirmitino/planing/
†илой комплекс ЗЊир ЊитиноИ;1;25,9;127К010,00;3289559;http://best-novostroy.ru/sales/mirmitino/planing/
†илой ђайон ЗЌовые ЋстровцыИ;1;46,08;71К840,28;3310400;http://best-novostroy.ru/novostroyki_podmoskovya/novie-ostrovci/planing/
†илой ђайон ЗЌовые ЋстровцыИ;1;46,1;71К838,39;3311750;http://best-novostroy.ru/novostroyki_podmoskovya/novie-ostrovci/planing/
†илой ђайон ЗЌовые ЋстровцыИ;1;41,3;81К113,80;3350000;http://best-novostroy.ru/novostroyki_podmoskovya/novie-ostrovci/planing/
†илой комплекс ЗЊир ЊитиноИ;1;26,3;127К516,01;3353671;http://best-novostroy.ru/sales/mirmitino/planing/
Љвартал ЗЃерезоваЯ ЂллеЯИ;1;25,4;132К352,80;3361761;http://best-novostroy.ru/sales/berezovaya-alleya/planing/
Љвартал ЗЃерезоваЯ ЂллеЯИ;1;25,4;132К720,39;3371098;http://best-novostroy.ru/sales/berezovaya-alleya/planing/
